Estado,Sexo,Rango_Edades,Personas
Michoacán de Ocampo,Mujeres,De 20 a 24 años,3851
Michoacán de Ocampo,Mujeres,De 25 a 29 años,3141
Michoacán de Ocampo,Mujeres,De 30 a 34 años,2740
Michoacán de Ocampo,Mujeres,De 35 a 39 años,2304
Michoacán de Ocampo,Mujeres,De 40 a 44 años,1990
Michoacán de Ocampo,Mujeres,De 45 a 49 años,1693
Michoacán de Ocampo,Mujeres,De 50 a 54 años,1417
Michoacán de Ocampo,Mujeres,De 55 a 59 años,971
Michoacán de Ocampo,Mujeres,De 60 a 64 años,792
Michoacán de Ocampo,Mujeres,De 65 a 69 años,483
Morelos,Hombres,De 15 a 19 años,6446
Morelos,Hombres,De 20 a 24 años,6514
Morelos,Hombres,De 25 a 29 años,5299
Morelos,Hombres,De 30 a 34 años,4703
Morelos,Hombres,De 35 a 39 años,4349
Morelos,Hombres,De 40 a 44 años,3701
Morelos,Hombres,De 45 a 49 años,3138
Morelos,Hombres,De 50 a 54 años,2915
Morelos,Hombres,De 55 a 59 años,2273
Morelos,Hombres,De 60 a 64 años,1767
Morelos,Hombres,De 65 a 69 años,1312
Morelos,Mujeres,De 15 a 19 años,5094
Morelos,Mujeres,De 20 a 24 años,5017
Morelos,Mujeres,De 25 a 29 años,4212
Morelos,Mujeres,De 30 a 34 años,3675
Morelos,Mujeres,De 35 a 39 años,3413
Morelos,Mujeres,De 40 a 44 años,2909
Morelos,Mujeres,De 45 a 49 años,2356
Morelos,Mujeres,De 50 a 54 años,2057
Morelos,Mujeres,De 55 a 59 años,1404
Morelos,Mujeres,De 60 a 64 años,1046
Morelos,Mujeres,De 65 a 69 años,720
Nayarit,Hombres,De 15 a 19 años,2295
Nayarit,Hombres,De 20 a 24 años,2578
Nayarit,Hombres,De 25 a 29 años,2076
Nayarit,Hombres,De 30 a 34 años,1854
Nayarit,Hombres,De 35 a 39 años,1611
Nayarit,Hombres,De 40 a 44 años,1337
Nayarit,Hombres,De 45 a 49 años,1061
Nayarit,Hombres,De 50 a 54 años,1049
Nayarit,Hombres,De 55 a 59 años,779
Nayarit,Hombres,De 60 a 64 años,628
Nayarit,Hombres,De 65 a 69 años,550
Nayarit,Mujeres,De 15 a 19 años,1736
Nayarit,Mujeres,De 20 a 24 años,1727
Nayarit,Mujeres,De 25 a 29 años,1322
Nayarit,Mujeres,De 30 a 34 años,1088
Nayarit,Mujeres,De 35 a 39 años,990
Nayarit,Mujeres,De 40 a 44 años,754
Nayarit,Mujeres,De 45 a 49 años,630
Nayarit,Mujeres,De 50 a 54 años,525
Nayarit,Mujeres,De 55 a 59 años,327
Nayarit,Mujeres,De 60 a 64 años,268
Nayarit,Mujeres,De 65 a 69 años,185
Nuevo León,Hombres,De 15 a 19 años,10984
Nuevo León,Hombres,De 20 a 24 años,13009
Nuevo León,Hombres,De 25 a 29 años,12278
Nuevo León,Hombres,De 30 a 34 años,11063
Nuevo León,Hombres,De 35 a 39 años,9911
Nuevo León,Hombres,De 40 a 44 años,7879
Nuevo León,Hombres,De 45 a 49 años,5939
Nuevo León,Hombres,De 50 a 54 años,4632
Nuevo León,Hombres,De 55 a 59 años,3234
Nuevo León,Hombres,De 60 a 64 años,2665
Nuevo León,Hombres,De 65 a 69 años,1858
Nuevo León,Mujeres,De 15 a 19 años,8288
Nuevo León,Mujeres,De 20 a 24 años,8542
Nuevo León,Mujeres,De 25 a 29 años,7373
Nuevo León,Mujeres,De 30 a 34 años,6959
Nuevo León,Mujeres,De 35 a 39 años,6010
Nuevo León,Mujeres,De 40 a 44 años,4665
Nuevo León,Mujeres,De 45 a 49 años,3388
Nuevo León,Mujeres,De 50 a 54 años,2508
Nuevo León,Mujeres,De 55 a 59 años,1552
Nuevo León,Mujeres,De 60 a 64 años,1162
Nuevo León,Mujeres,De 65 a 69 años,812
Oaxaca,Hombres,De 15 a 19 años,10596
Oaxaca,Hombres,De 20 a 24 años,9153
Oaxaca,Hombres,De 25 a 29 años,7893
Oaxaca,Hombres,De 30 a 34 años,7269
Oaxaca,Hombres,De 35 a 39 años,6378
Oaxaca,Hombres,De 40 a 44 años,5364
Oaxaca,Hombres,De 45 a 49 años,4604
Oaxaca,Hombres,De 50 a 54 años,3749
Oaxaca,Hombres,De 55 a 59 años,2776
Oaxaca,Hombres,De 60 a 64 años,2111
Oaxaca,Hombres,De 65 a 69 años,1537
Oaxaca,Mujeres,De 15 a 19 años,8218
Oaxaca,Mujeres,De 20 a 24 años,7704
Oaxaca,Mujeres,De 25 a 29 años,6652
Oaxaca,Mujeres,De 30 a 34 años,5889
Oaxaca,Mujeres,De 35 a 39 años,4882
Oaxaca,Mujeres,De 40 a 44 años,3851
Oaxaca,Mujeres,De 45 a 49 años,3092
Oaxaca,Mujeres,De 50 a 54 años,2390
Oaxaca,Mujeres,De 55 a 59 años,1588
Oaxaca,Mujeres,De 60 a 64 años,1204
Oaxaca,Mujeres,De 65 a 69 años,846
Puebla,Hombres,De 15 a 19 años,6081
Puebla,Hombres,De 20 a 24 años,6752
Puebla,Hombres,De 25 a 29 años,5685
Puebla,Hombres,De 30 a 34 años,4901
Puebla,Hombres,De 35 a 39 años,4279
Puebla,Hombres,De 40 a 44 años,3598
Puebla,Hombres,De 45 a 49 años,3030
Puebla,Hombres,De 50 a 54 años,2719
Puebla,Hombres,De 55 a 59 años,2117
Puebla,Hombres,De 60 a 64 años,1526
Puebla,Hombres,De 65 a 69 años,1116
Puebla,Mujeres,De 15 a 19 años,4640
Puebla,Mujeres,De 20 a 24 años,4910
Puebla,Mujeres,De 25 a 29 años,4451
Puebla,Mujeres,De 30 a 34 años,3885
Puebla,Mujeres,De 35 a 39 años,3433
Puebla,Mujeres,De 40 a 44 años,2734
Puebla,Mujeres,De 45 a 49 años,2255
Puebla,Mujeres,De 50 a 54 años,1844
Puebla,Mujeres,De 55 a 59 años,1326
Puebla,Mujeres,De 60 a 64 años,1004
Puebla,Mujeres,De 65 a 69 años,572
Querétaro,Hombres,De 15 a 19 años,2174
Querétaro,Hombres,De 20 a 24 años,2660
Querétaro,Hombres,De 25 a 29 años,2623
Querétaro,Hombres,De 30 a 34 años,2142
Querétaro,Hombres,De 35 a 39 años,1838
Querétaro,Hombres,De 40 a 44 años,1508
Querétaro,Hombres,De 45 a 49 años,1261
Querétaro,Hombres,De 50 a 54 años,1176
Querétaro,Hombres,De 55 a 59 años,765
Querétaro,Hombres,De 60 a 64 años,574
Querétaro,Hombres,De 65 a 69 años,387
Querétaro,Mujeres,De 15 a 19 años,1594
Querétaro,Mujeres,De 20 a 24 años,1939
Querétaro,Mujeres,De 25 a 29 años,1652
Querétaro,Mujeres,De 30 a 34 años,1433
Querétaro,Mujeres,De 35 a 39 años,1318
Querétaro,Mujeres,De 40 a 44 años,1082
Querétaro,Mujeres,De 45 a 49 años,919
Querétaro,Mujeres,De 50 a 54 años,772
Querétaro,Mujeres,De 55 a 59 años,492
Querétaro,Mujeres,De 60 a 64 años,341
Querétaro,Mujeres,De 65 a 69 años,218
Quintana Roo,Hombres,De 15 a 19 años,10576
Quintana Roo,Hombres,De 20 a 24 años,13881
Quintana Roo,Hombres,De 25 a 29 años,12897
Quintana Roo,Hombres,De 30 a 34 años,11069
Quintana Roo,Hombres,De 35 a 39 años,9307
Quintana Roo,Hombres,De 40 a 44 años,6946
Quintana Roo,Hombres,De 45 a 49 años,4938
Quintana Roo,Hombres,De 50 a 54 años,3598
Quintana Roo,Hombres,De 55 a 59 años,2329
Quintana Roo,Hombres,De 60 a 64 años,1535
Quintana Roo,Hombres,De 65 a 69 años,979
Quintana Roo,Mujeres,De 15 a 19 años,7618
Quintana Roo,Mujeres,De 20 a 24 años,9377
Quintana Roo,Mujeres,De 25 a 29 años,8405
Quintana Roo,Mujeres,De 30 a 34 años,6970
Quintana Roo,Mujeres,De 35 a 39 años,5495
Quintana Roo,Mujeres,De 40 a 44 años,3771
Quintana Roo,Mujeres,De 45 a 49 años,2564
Quintana Roo,Mujeres,De 50 a 54 años,1698
Quintana Roo,Mujeres,De 55 a 59 años,1058
Quintana Roo,Mujeres,De 60 a 64 años,660
Quintana Roo,Mujeres,De 65 a 69 años,364
San Luis Potosí,Hombres,De 15 a 19 años,3603
San Luis Potosí,Hombres,De 20 a 24 años,3713
San Luis Potosí,Hombres,De 25 a 29 años,3288
San Luis Potosí,Hombres,De 30 a 34 años,2855
San Luis Potosí,Hombres,De 35 a 39 años,2412
San Luis Potosí,Hombres,De 40 a 44 años,2105
San Luis Potosí,Hombres,De 45 a 49 años,1883
San Luis Potosí,Hombres,De 50 a 54 años,1617
San Luis Potosí,Hombres,De 55 a 59 años,1310
San Luis Potosí,Hombres,De 60 a 64 años,964
San Luis Potosí,Hombres,De 65 a 69 años,761
San Luis Potosí,Mujeres,De 15 a 19 años,2605
San Luis Potosí,Mujeres,De 20 a 24 años,2583
San Luis Potosí,Mujeres,De 25 a 29 años,2164
San Luis Potosí,Mujeres,De 30 a 34 años,1899
San Luis Potosí,Mujeres,De 35 a 39 años,1696
San Luis Potosí,Mujeres,De 40 a 44 años,1341
San Luis Potosí,Mujeres,De 45 a 49 años,1137
San Luis Potosí,Mujeres,De 50 a 54 años,844
San Luis Potosí,Mujeres,De 55 a 59 años,599
San Luis Potosí,Mujeres,De 60 a 64 años,459
San Luis Potosí,Mujeres,De 65 a 69 años,327
Sinaloa,Hombres,De 15 a 19 años,12069
Sinaloa,Hombres,De 20 a 24 años,11832
Sinaloa,Hombres,De 25 a 29 años,9694
Sinaloa,Hombres,De 30 a 34 años,9072
Sinaloa,Hombres,De 35 a 39 años,8278
Sinaloa,Hombres,De 40 a 44 años,6897
Sinaloa,Hombres,De 45 a 49 años,5624
Sinaloa,Hombres,De 50 a 54 años,5152
Sinaloa,Hombres,De 55 a 59 años,3979
Sinaloa,Hombres,De 60 a 64 años,3080
Sinaloa,Hombres,De 65 a 69 años,2525
Sinaloa,Mujeres,De 15 a 19 años,9804
Sinaloa,Mujeres,De 20 a 24 años,8564
Sinaloa,Mujeres,De 25 a 29 años,6868
Sinaloa,Mujeres,De 30 a 34 años,6204
Sinaloa,Mujeres,De 35 a 39 años,5523
Sinaloa,Mujeres,De 40 a 44 años,4424
Sinaloa,Mujeres,De 45 a 49 años,3517
Sinaloa,Mujeres,De 50 a 54 años,2779
Sinaloa,Mujeres,De 55 a 59 años,1883
Sinaloa,Mujeres,De 60 a 64 años,1510
Sinaloa,Mujeres,De 65 a 69 años,1104
Sonora,Hombres,De 15 a 19 años,10629
Sonora,Hombres,De 20 a 24 años,11517
Sonora,Hombres,De 25 a 29 años,10297
Sonora,Hombres,De 30 a 34 años,9022
Sonora,Hombres,De 35 a 39 años,8076
